Id,Name,CardNumber,Color,Type,Subtypes,Cost,Inkable,Rarity,Strength,Willpower,LoreValue,MoveCost,SetNumber,SetName,Abilities,RulesText,FlavorText,Artist,Image,OwnedNumber
14,Monsieur mouche - Fidèle second,15,Amber,characters,"Dreamborn, Allié, Pirate",3,True,Common,2.0,5.0,1.0,,1,Premier Chapitre,,,Monsieur Mouche est une personne gentille et douce dont la vie consiste à réconforter et aider un vieux méchant malhonnête… euh du coup peut-on encore parler de gentillesse? — Peter Pan,Kamil Murzyn / Eri Welli,https://api.lorcana.ravensburger.com/images/fr/set1/cards/367x512/15_cb416223a040c2f71db1c25bd6769c3835be8cbf.jpg,0
15,Prince philippe - Tueur de dragon,16,Amber,characters,"Storyborn, Héros, Prince",4,False,Uncommon,3.0,3.0,2.0,,1,Premier Chapitre,,"HÉROÏSME Lorsque ce personnage en défie un autre et qu'il se fait bannir, vous pouvez bannir le personnage défié.","Sur la route qui saura vous mener à l'amour, il est de nombreux dangers qu'il va vous falloir affronter. — Flora",Philipp Kruse,https://api.lorcana.ravensburger.com/images/fr/set1/cards/367x512/16_eb6c1b5c978713934b9dd8bba3c1defcaa96af04.jpg,0
16,Pumbaa - Poète qui sommeille,17,Amber,characters,"Storyborn, Allié",4,True,Common,3.0,5.0,1.0,,1,Premier Chapitre,,,On ne revient jamais en avant.,Jenna Gray,https://api.lorcana.ravensburger.com/images/fr/set1/cards/367x512/17_1becd93bac45b5145e18c7b407b7aefca3489bfd.jpg,0
17,Raiponce - Guérit les blessures,18,Amber,characters,"Storyborn, Héros, Princesse",4,True,Legendary,1.0,5.0,2.0,,1,Premier Chapitre,,"RÉPANDS TA MAGIE Lorsque vous jouez ce personnage, retirez jusqu'à 3 jetons Dommage de l'un de vos personnages. Piochez une carte par jeton ainsi retiré.",,Jochem Van Gool,https://api.lorcana.ravensburger.com/images/fr/set1/cards/367x512/18_bc4061dbb22bf97a78b0dcbd7a1ebd2779621d4c.jpg,0
18,Sébastien - Compositeur à la Cour,19,Amber,characters,"Storyborn, Allié",2,True,Common,2.0,2.0,1.0,,1,Premier Chapitre,Mélomane,Mélomane 4 (Ce personnage est considéré comme ayant un coût de 4 pour chanter des chansons.),"Je suis fait pour composer une symphonie, moi, pas pour jouer les nounous avec cette tête de pioche.",Isaiah Mesq,https://api.lorcana.ravensburger.com/images/fr/set1/cards/367x512/19_c5cc2be67d64ff8735bd9f13b781b52b48bc8921.jpg,0
19,Simba - Lionceau protecteur,20,Amber,characters,"Storyborn, Héros, Prince",2,True,Common,2.0,3.0,1.0,,1,Premier Chapitre,Rempart,"Rempart (Ce personnage peut entrer en jeu épuisé. Lorsqu'il vous défie, un personnage adverse doit, si possible, choisir l'un de vos personnages avec Rempart.)",Le courage ne dépend pas de la taille.,Filipe Laurentino,https://api.lorcana.ravensburger.com/images/fr/set1/cards/367x512/20_a9bc30b54402b8e2861f34489cef1243ec054bcc.jpg,0
20,Stitch - Surfeur insouciant,21,Amber,characters,"Dreamborn, Héros, Alien",7,True,Legendary,4.0,8.0,2.0,,1,Premier Chapitre,,"OHANA Si vous avez au moins 2 autres personnages en jeu lorsque vous jouez ce personnage, vous pouvez piocher 2 cartes.","Alors, comme ça, tu viens de l'espace? Il paraît qu'il y a de belles vagues là-haut. — David",Marcel Berg,https://api.lorcana.ravensburger.com/images/fr/set1/cards/367x512/21_f412b707da8bc14168cd5390682efe4fefd14935.jpg,0
21,Stitch - Nouveau chien,22,Amber,characters,"Storyborn, Héros, Alien",1,True,Common,2.0,2.0,1.0,,1,Premier Chapitre,,,"Lilo: David, regarde, j'ai un chien. David: Ben voyons… euh t'es sûre que c'est un chien, ça? Lilo: An-an. C'était un chien de berger avant qu'il se fasse écraser.",Alex Accorsi,https://api.lorcana.ravensburger.com/images/fr/set1/cards/367x512/22_640f1457e101c3db67601d42918bc0e42878f61b.jpg,0
22,Stitch - Rock star,23,Amber,characters,"Floodborn, Héros, Alien",6,True,Super,3.0,5.0,3.0,,1,Premier Chapitre,Alter,"Alter 4 (Vous pouvez payer 4 pour jouer ce personnage sur l'un de vos personnages Stitch.) FANS DÉCHAÎNÉS Chaque fois que vous jouez un personnage coûtant 2 ou moins, vous pouvez tout de suite l'épuiser pour piocher une carte.","L'avantage d'un concert sur la plage, c'est qu'il y a toujours de la place pour accueillir plus de monde.",Simangaliso Sibaya,https://api.lorcana.ravensburger.com/images/fr/set1/cards/367x512/23_ad2f3e61dae3cf78849f3e864a1b0699e9fba97d.jpg,0
23,Timon - Dénicheur de larves,24,Amber,characters,"Storyborn, Allié",1,True,Common,1.0,2.0,1.0,,1,Premier Chapitre,,"UN PEU GLUANT MAIS APPÉTISSANT Lorsque vous jouez ce personnage, vous pouvez choisir un personnage et lui retirer 1 jeton Dommage.",Le monde regorge de plaisirs savoureux. Il suffit juste de savoir où chercher.,Juan Diego Leon,https://api.lorcana.ravensburger.com/images/fr/set1/cards/367x512/24_fbfd7f492e537fd9baec8d2e2bb0289f7a791122.jpg,0
1626,C'est la fête,25,Amber,actions,Chanson,2,True,Uncommon,,,,,1,Premier Chapitre,,"(Vous pouvez un personnage coûtant 2 ou plus pour chanter cette chanson gratuitement.) Regardez les 4 premières cartes de votre pioche. Vous pouvez révéler une carte personnage parmi elles et l'ajouter à votre main. Remettez les autres sous votre pioche, dans l'ordre de votre choix.",,R. La Barbera / L. Giammichele,https://api.lorcana.ravensburger.com/images/fr/set1/cards/367x512/25_d87fce2566c6d221450207237322f9a2e652ae19.jpg,0
1627,Très mauvais caractère !,26,Amber,actions,,1,True,Common,,,,,1,Premier Chapitre,,"Choisissez un personnage, il subit -2 pour le reste de ce tour.",,Amber Kommavongsa,https://api.lorcana.ravensburger.com/images/fr/set1/cards/367x512/26_6519269c489aae2766a125b7c7db4effe847d35d.jpg,0
1628,Hakuna matata,27,Amber,actions,Chanson,4,True,Common,,,,,1,Premier Chapitre,,(Vous pouvez un personnage coûtant 4 ou plus pour chanter cette chanson gratuitement.) Retirez jusqu'à 3 jetons Dommage de chacun de vos personnages.,Mais quelle phrase magnifique!,Juan Diego Leon,https://api.lorcana.ravensburger.com/images/fr/set1/cards/367x512/27_e2bc34680813dcad9f77d9c6b0adbe50f73260c1.jpg,0
1629,Lueur réparatrice,28,Amber,actions,,1,True,Common,,,,,1,Premier Chapitre,,Choisissez un personnage et retirez-lui jusqu'à 2 jetons Dommage.,Ne vous affolez pas! — Raiponce.,Philipp Kruse,https://api.lorcana.ravensburger.com/images/fr/set1/cards/367x512/28_205b362ea2d4426e593c62d02bf8680ba44f6f2f.jpg,0
1630,Juste à temps,29,Amber,actions,,3,False,Rare,,,,,1,Premier Chapitre,,Vous pouvez jouer gratuitement un personnage coûtant 5 ou moins.,"Les meilleurs héros arrivent toujours au bon moment, même sans le savoir.",Leonardo Giammichele,https://api.lorcana.ravensburger.com/images/fr/set1/cards/367x512/29_340affe6a90877e1c58a6e5a84e294a6f4db8d0f.jpg,0
1631,Partir là-bas,30,Amber,actions,Chanson,3,False,Rare,,,,,1,Premier Chapitre,,(Vous pouvez un personnage coûtant 3 ou plus pour chanter cette chanson gratuitement.) Reprenez en main une carte personnage de votre défausse.,Je donnerais tout ce que j'ai pour partir d'ici.,Samanta Erdini,https://api.lorcana.ravensburger.com/images/fr/set1/cards/367x512/30_241e927d459072706fc6bd224a17c9d12d95bd7f.jpg,0
1632,Tu m'as oublié,31,Amber,actions,,4,True,Uncommon,,,,,1,Premier Chapitre,,Chaque adversaire choisit 2 cartes de sa main et les défausse.,Tu vaux mieux que ce que tu es devenu. — Mufasa,Alice Pisoni,https://api.lorcana.ravensburger.com/images/fr/set1/cards/367x512/31_7f12c954ac937f698e4920248f226ab2da167a58.jpg,0
1484,Zirgouflex,32,Amber,items,,1,True,Common,,,,,1,Premier Chapitre,,RATISSER LES POILS DE TÊTE – Choisissez un personnage et retirez-lui 1 jeton Dommage.,À vous les plus belles coupes de cheveux!,Eri Welli,https://api.lorcana.ravensburger.com/images/fr/set1/cards/367x512/32_fbd33fdd4e951d841ec6f10cfe445f0c93c13852.jpg,0
1485,Lanterne,33,Amber,items,,2,False,Rare,,,,,1,Premier Chapitre,,LUMIÈRES D'ANNIVERSAIRE – Le prochain personnage que vous jouez durant ce tour coûte 1 de moins.,"Une nuit par an, les lanternes illuminent le ciel, signes d'espoir et d'amour.",Eri Welli,https://api.lorcana.ravensburger.com/images/fr/set1/cards/367x512/33_e884174b6fae8d213142eff9761a510c094af284.jpg,0
1486,Pendentif en coquillage d'ursula,34,Amber,items,,3,False,Rare,,,,,1,Premier Chapitre,,"MAINTENANT, CHANTE! Chaque fois que vous jouez une chanson, vous pouvez payer 1 pour piocher une carte.",Chanter est un merveilleux passe-temps… à condition d'avoir la voix qu'il faut. — Ursula,Jenna Gray,https://api.lorcana.ravensburger.com/images/fr/set1/cards/367x512/34_8e0845344a44a4171acdc7bba6347145b0b20888.jpg,0
24,Anna - Héritière d'Arendelle,35,Amethyst,characters,"Storyborn, Héros, Reine",4,True,Uncommon,2.0,4.0,2.0,,1,Premier Chapitre,,"AMOUR SINCÈRE Si vous avez un personnage Elsa en jeu lorsque vous jouez ce personnage, vous pouvez choisir un personnage adverse. Celui-ci ne sera pas redressé au début de son prochain tour.","Deux sœurs, deux âmes synchronisées.",Valerio Buonfantino,https://api.lorcana.ravensburger.com/images/fr/set1/cards/367x512/35_16b5822535970d53033609c53d137d49f6dfa911.jpg,0
25,Archimède - Hibou extrêmement instruit,36,Amethyst,characters,"Dreamborn, Allié",1,True,Common,2.0,2.0,1.0,,1,Premier Chapitre,,,"Voler a toujours été plus que l'application de principes mécaniques. C'est un art délicat. Purement esthétique. De la poésie en mouvement. Et la meilleure façon de l'acquérir, c'est de l'exercer.",Kendall Hale,https://api.lorcana.ravensburger.com/images/fr/set1/cards/367x512/36_54a2b8b0b44e8f3bdc0576eeac422d3a3e4074cc.jpg,0
26,Dr. facilier - Agent provocateur,37,Amethyst,characters,"Floodborn, Méchant, Mage",7,False,Rare,4.0,5.0,3.0,,1,Premier Chapitre,Alter,"Alter 5 (Vous pouvez payer 5 pour jouer ce personnage sur l'un de vos personnages Dr. Facilier.) VERS LES OMBRES Vos autres personnages gagnent: ""Lorsque ce personnage est banni via un défi, vous pouvez le reprendre en main.""",,Isaiah Mesq,https://api.lorcana.ravensburger.com/images/fr/set1/cards/367x512/37_cc59490afd52ffaee295bcdbd661174ae2cc324c.jpg,0
27,Dr. facilier - Charlatan,38,Amethyst,characters,"Storyborn, Méchant, Mage",2,True,Common,0.0,4.0,1.0,,1,Premier Chapitre,Offensif,"Offensif +2 (Lorsqu'il défie, ce personnage gagne +2.)",Enchanté. Et chapeau bas de la part du Dr. Facilier.,Grace Tran,https://api.lorcana.ravensburger.com/images/fr/set1/cards/367x512/38_f665ef2e8a45dc313dc345b1c5e9bd075555a3a1.jpg,0
28,Dr. facilier - Étrange gentleman,39,Amethyst,characters,"Storyborn, Méchant, Mage",3,True,Rare,2.0,4.0,1.0,,1,Premier Chapitre,,"RÊVES RÉALISÉS Lorsque vous jouez une chanson, vous pouvez regarder les 2 premières cartes de votre pioche. Remettez-en une sur le dessus de votre pioche et l'autre en dessous.",,Cam Kendell,https://api.lorcana.ravensburger.com/images/fr/set1/cards/367x512/39_9294bad0947ce2c581f9a21a6a6d42f8f58865ed.jpg,0
29,Elsa - Reine régente,40,Amethyst,characters,"Storyborn, Héros, Reine, Mage",4,True,Common,4.0,4.0,1.0,,1,Premier Chapitre,,,Je ne savais pas moi-même que c'était possible.,Duyen Nguyen / Aubrey Archer,https://api.lorcana.ravensburger.com/images/fr/set1/cards/367x512/40_137e9ae77b88f10612cd01950b9f9f1785032a8c.jpg,0
30,Elsa - Reine des Neiges,41,Amethyst,characters,"Dreamborn, Héros, Reine, Mage",3,True,Uncommon,2.0,3.0,1.0,,1,Premier Chapitre,,GELER – Choisissez un personnage adverse et épuisez-le.,"Recréée par l'encre magique, Elsa se retrouva dans un monde entièrement nouveau. Par chance, la glace fonctionne partout de la même manière.",Nicholas Kole,https://api.lorcana.ravensburger.com/images/fr/set1/cards/367x512/41_fb5162504225e50874d70744219e9a69718f4a8f.jpg,0
31,Elsa - Esprit de l'hiver,42,Amethyst,characters,"Floodborn, Héros, Reine, Mage",8,False,Legendary,4.0,6.0,3.0,,1,Premier Chapitre,Alter,"Alter 6 (Vous pouvez payer 6 pour jouer ce personnage sur l'un de vos personnages Elsa.) GEL INTENSE Lorsque vous jouez ce personnage, choisissez jusqu'à 2 personnages et épuisez-les. Ils ne peuvent pas être redressés au début de leur prochain tour.",La glace est plus solide que tu ne le penses.,Matthew Robert Davies,https://api.lorcana.ravensburger.com/images/fr/set1/cards/367x512/42_1c6a76436e551327448d901b19373d6d87456469.jpg,0
32,Flotsam - Espion d'Ursula,43,Amethyst,characters,"Storyborn, Allié",5,False,Rare,3.0,4.0,2.0,,1,Premier Chapitre,Charge,Charge (Ce personnage peut défier le tour où il est joué.) COUP BAS Vos personnages Jetsam gagnent Charge.,Nous connaissons quelqu'un qui peut t'aider… à certaines conditions.,Luis Huerta,https://api.lorcana.ravensburger.com/images/fr/set1/cards/367x512/43_e5f2d555a7e8caa6b0a047e4c464b7a420d0c101.jpg,0
33,Jafar - Gardien des Secrets,44,Amethyst,characters,"Dreamborn, Méchant, Mage",4,True,Rare,0.0,5.0,2.0,,1,Premier Chapitre,,MERVEILLES CACHÉES La de ce personnage augmente de 1 par carte dans votre main.,Il existe plusieurs manières d'enterrer des secrets.,Marcel Berg,https://api.lorcana.ravensburger.com/images/fr/set1/cards/367x512/44_124f5c3529901c02926b2a1881b032e994e1e688.jpg,0
34,Jafar - Sorcier maléfique,45,Amethyst,characters,"Dreamborn, Méchant, Mage",4,True,Common,2.0,5.0,1.0,,1,Premier Chapitre,Offensif,"Offensif +3 (Lorsqu'il défie, ce personnage gagne +3.)",Fini de se cacher. Il est temps de montrer à ce sultan pleurnichard ce dont est capable un sorcier.,Jake Parker,https://api.lorcana.ravensburger.com/images/fr/set1/cards/367x512/45_bdac0890c15dd1c1f49893711e3c80a50f27d855.jpg,0
35,Jetsam - Espion d'Ursula,46,Amethyst,characters,"Storyborn, Allié",4,True,Common,3.0,3.0,1.0,,1,Premier Chapitre,Insaisissable,Insaisissable (Seuls les personnages avec Insaisissable peuvent défier ce personnage.) SINISTRE ONDULATION Vos personnages Flotsam gagnent Insaisissable.,Nous pouvons t'aider à obtenir tout ce que tu désires.,Brian Weisz,https://api.lorcana.ravensburger.com/images/fr/set1/cards/367x512/46_f6dd9267b9c23f5d1e67162c765847fd2569c60e.jpg,0
36,Balais magiques - Armés de seaux,47,Amethyst,characters,"Dreamborn, Balai",2,True,Common,2.0,2.0,1.0,,1,Premier Chapitre,,"BALAYER Lorsque vous jouez ce personnage, vous pouvez remélanger une carte de la défausse de n'importe quel joueur dans sa pioche.","Dans l'immense fabrique à histoires, connue sous le nom de Grand Illuminarium, le travail ne manque pas.",Dav Augereau / Giulia Riva,https://api.lorcana.ravensburger.com/images/fr/set1/cards/367x512/47_340dcc095ed8110cf48d385f8a3b1e089085429e.jpg,0
37,Maléfique - Attendant son heure,48,Amethyst,characters,"Dreamborn, Méchant, Mage",1,False,Rare,1.0,1.0,2.0,,1,Premier Chapitre,,,"Il ne faut jamais précipiter les choses, au risque de faire échouer le meilleur des plans.",Grace Tran,https://api.lorcana.ravensburger.com/images/fr/set1/cards/367x512/48_ba2e513c2c75e9e805da6c51a28325b87c7e9c97.jpg,0
38,Maléfique - Sorcière,49,Amethyst,characters,"Storyborn, Méchant, Mage",3,True,Common,2.0,2.0,1.0,,1,Premier Chapitre,,"SORTILÈGE Lorsque vous jouez ce personnage, vous pouvez piocher une carte.","Tu oses me défier? Pauvre fou, ma magie est encore plus puissante que tu ne pourrais jamais l'imaginer!",Valerio Buonfantino,https://api.lorcana.ravensburger.com/images/fr/set1/cards/367x512/49_c35fb4d22907fc65036c4ea89c73f9446310cc0d.jpg,0
39,Guimauve - Gardien tenace,50,Amethyst,characters,"Storyborn, Allié",6,False,Super,5.0,5.0,1.0,,1,Premier Chapitre,,"NEIGE ÉTERNELLE Lorsque ce personnage est banni via un défi, vous pouvez reprendre cette carte en main.","Ah, on parlait de toi, justement… On disait que du bien, que du bien. — Olaf",Kendall Hale / Anh Dang,https://api.lorcana.ravensburger.com/images/fr/set1/cards/367x512/50_974e1950e6e7bab9e5dadd6acf6b2966eeb526b5.jpg,0
40,Mickey mouse - Sorcier renégat,51,Amethyst,characters,"Dreamborn, Mage",4,True,Super,3.0,4.0,2.0,,1,Premier Chapitre,,"ANIMER LES BALAIS Les personnages Balai vous coûtent 1 de moins à jouer. TRAVAILLEUR INFATIGABLE Si l'un de vos personnages Balai est banni via un défi, vous pouvez le reprendre en main.",Les problèmes? Il les balaie!,Nicholas Kole,https://api.lorcana.ravensburger.com/images/fr/set1/cards/367x512/51_0f757011ff14e30f568a059b12551a57795ed00b.jpg,0
41,Olaf - Gentil bonhomme de neige,52,Amethyst,characters,"Storyborn, Allié",1,True,Uncommon,1.0,3.0,1.0,,1,Premier Chapitre,,,"Je m'appelle Olaf, j'aime les gros câlins.",Giulia Riva,https://api.lorcana.ravensburger.com/images/fr/set1/cards/367x512/52_d8ab9b8411eda6409187a95c89eb35a7d04f38af.jpg,0
42,Pascal - Compagnon de Raiponce,53,Amethyst,characters,"Storyborn, Allié",1,True,Uncommon,1.0,1.0,1.0,,1,Premier Chapitre,,"CAMOUFLAGE Tant que vous avez un autre personnage en jeu, ce personnage gagne Insaisissable. (Seuls les personnages avec Insaisissable peuvent le défier.)","Un véritable ami est toujours là pour toi, que tu le voies ou non.",Brian Weisz,https://api.lorcana.ravensburger.com/images/fr/set1/cards/367x512/53_db27bed1a78c41e1a23fe5e737eb267800f3b5e0.jpg,0
43,Rafiki - Mystérieux sage,54,Amethyst,characters,"Dreamborn, Mentor, Mage",3,False,Uncommon,3.0,3.0,1.0,,1,Premier Chapitre,Charge,Charge (Ce personnage peut défier le tour où il est joué.),"Mais oui, le passé, c'est douloureux. Mais à mon sens, on peut soit le fuir, soit tout en apprendre.",Giulia Riva,https://api.lorcana.ravensburger.com/images/fr/set1/cards/367x512/54_f05b6da48cb46d51c39b66fa820d3c3018890103.jpg,0
44,Sven - Fournisseur officiel de glace,55,Amethyst,characters,"Storyborn, Allié",6,True,Uncommon,5.0,7.0,1.0,,1,Premier Chapitre,,,"Attention, un renne sur la glace! — Kristoff",Jared Nickerl,https://api.lorcana.ravensburger.com/images/fr/set1/cards/367x512/55_dd9ad65e1182e328fb02c2ba0367e6390401813d.jpg,0
45,La reine - Vaniteuse et malfaisante,56,Amethyst,characters,"Storyborn, Méchant, Reine",5,True,Super,4.0,5.0,1.0,,1,Premier Chapitre,,JE TE L'ORDONNE – Piochez une carte.,Une beauté sublime associée à une perfidie sans pareil. Faut-il vraiment demander qui est la plus belle?,Matthew Robert Davies,https://api.lorcana.ravensburger.com/images/fr/set1/cards/367x512/56_85baafd5b57b1dcdf4db48a5bb7ad67cc637fbd2.jpg,0
46,Madame de garderobe - Confidente de Belle,57,Amethyst,characters,"Dreamborn, Allié",3,True,Common,3.0,4.0,1.0,,1,Premier Chapitre,,,Toujours présente quand tu as besoin du meilleur de la mode.,Giulia Riva,https://api.lorcana.ravensburger.com/images/fr/set1/cards/367x512/57_ea83962f909d6b6cba52437c3d78320dcb18b2a8.jpg,0
47,La fée clochette - Alliée de Peter Pan,58,Amethyst,characters,"Storyborn, Allié, Fée",5,False,Common,3.0,3.0,2.0,,1,Premier Chapitre,Insaisissable,Insaisissable (Seuls les personnages avec Insaisissable peuvent défier ce personnage.) LOYALE ET DÉVOUÉE Vos personnages Peter Pan gagnent Offensif + 1. (Ils gagnent +1 lorsqu'ils défient.),,Adrianne Gumaya,https://api.lorcana.ravensburger.com/images/fr/set1/cards/367x512/58_8776567ac908fa6665267e1a3f42489b44fb67fd.jpg,0
48,Ursula - Assoiffée de pouvoir,59,Amethyst,characters,"Storyborn, Méchant, Mage",7,False,Legendary,2.0,8.0,3.0,,1,Premier Chapitre,,"C'EST TROP BEAU! Lorsque vous jouez ce personnage, chaque adversaire perd 1 éclat de Lore. Vous pouvez piochez une carte par éclat de Lore perdu de cette façon.","Première règle de la méchanceté: Si tu dois devenir diabolique, fais-le avec style.",Simangaliso Sibaya,https://api.lorcana.ravensburger.com/images/fr/set1/cards/367x512/59_611fc33af7d99065e23855a7977fff6f37dc5166.jpg,0
